,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
ETR,99.59647,1658487,93.66628,1658487,0.518959,19735250944,1.9513507,113.36,15.675159,82.81,1
ETSY,170.82266,3678762,216.64485,3678762,1.617551,25502234624,14.77855,251.86,52.55065,33.96,3
EVRG,54.52108,2040425,56.061142,2040425,0.375406,13424365568,2.732195,65.43,16.945559,48.61,4
EWBC,51.912807,1454812,72.62171,1454812,1.890032,10501291008,7.8838224,82.53,14.265386,22.55,0
EXAS,123.122734,1786750,135.26228,1786750,1.455037,21305716736,14.285803,159.54,-50.199203,53.66,1
EXLS,79.77158,249200,85.84314,249200,0.97183,3177743872,3.3155584,94.95,21.772936,45.79,4
EXPD,92.896545,1079975,97.288574,1079975,0.770314,18185213952,1.797583,107.88,25.011602,63.86,1
EXPE,127.26244,3929125,163.15486,3929125,1.75027,25384976384,4.882665,187.93,31.285461,46.15,3
EXPI,37.62806,2116200,58.97186,2116200,3.170097,6680103424,3.7147079,90.0,66.58333,3.45,2
EXPO,84.911224,246962,95.63286,246962,0.360238,5003220992,13.221623,100.94,51.64706,61.47,4
EXR,115.97813,1010925,125.183716,1010925,0.207475,17718398976,12.85271,134.52,30.90676,80.86,1
EYE,44.613525,941800,47.491714,941800,1.758753,3689121024,2.1551626,52.61,42.801888,15.37,0
F,9.453094,73427087,12.156285,73427087,1.208559,48937889792,0.3849013,13.62,7.834395,4.17,3
FANG,49.31144,3705500,74.120285,3705500,2.710725,13698739200,5.128693,88.75,8.487122,22.0,2
FAST,47.02108,4512075,47.137714,4512075,1.251895,29038682112,5.142047,51.89,29.39535,29.92,3
FATE,73.446976,1191575,93.46257,1191575,1.654387,6767410688,215.28952,121.16,-33.253456,19.81,0
FBHS,86.339714,943412,88.227715,943412,1.631635,13010847744,2.136323,94.12,17.027174,35.21,0
FCEL,10.352518,26143887,18.093143,26143887,5.286023,4275408384,61.530834,29.44,-78.0,1.26,2
FCX,25.049713,30034837,34.377716,30034837,2.252979,48121597952,3.3893223,39.1,11.32646,5.99,3
FDS,324.89447,275325,312.9263,275325,0.754062,12366592000,8.159218,363.64,27.61832,248.86,4
FE,30.918129,4443725,33.596,4443725,0.225893,18615977984,1.7550654,46.36,13.030417,22.85,1
FELE,68.72244,258575,76.63943,258575,1.027627,3691157760,2.959245,82.14,27.003391,41.37,4
FFIN,36.66899,871087,45.94743,871087,0.924702,6925654528,14.725942,51.6,35.021584,23.44,4
FFIV,166.67755,662087,197.8283,662087,1.112134,12973794304,5.391967,213.8,18.017122,101.42,1
FGEN,42.620827,971437,42.318287,971437,1.354821,2921695488,16.570507,57.209,-16.53368,30.77,0
FICO,464.15244,238862,466.81287,238862,1.241603,14410766336,11.013431,530.95,38.32893,259.37,1
FITB,28.265467,9785837,35.82,9785837,1.579631,27332491264,4.1716256,40.46,12.440129,13.15,3
FIVE,162.55173,1026962,191.42943,1026962,1.28494,11190402048,5.703171,205.28,39.207844,59.3,0
FIVN,156.6218,629187,172.10114,629187,0.497291,10452938752,24.034828,201.75,145.19444,71.68,4
FLT,260.39044,562450,276.85257,562450,1.505417,23228102656,9.72353,292.7,19.085674,169.14,1
FMC,110.66238,803325,107.79943,803325,0.978873,14734238720,3.1740458,123.66,14.150497,70.5,1
FN,74.951584,217575,88.657715,217575,1.083423,3348596992,1.9619279,94.25,18.236948,48.14,4
FNF,36.575035,3323700,39.79286,3323700,1.328819,11932064768,1.1032885,42.64,8.71915,23.12,0
FOLD,17.688417,3823800,12.1851425,3823800,1.384615,2534790400,9.7160845,25.39,-23.975,8.63,0
FORM,38.570072,556225,45.579144,556225,1.400325,3529845760,5.089049,52.39,25.942858,17.16,0
FOXA,30.81349,5430337,37.437572,5430337,1.261949,21904949248,1.7299755,44.8,14.651163,21.81,1
FOXF,104.961006,256687,133.48514,256687,1.751895,5434880512,6.1028085,144.255,31.146284,34.58,0
FRC,140.50345,991025,166.51514,991025,1.108884,29635121152,7.8823223,180.35,23.33196,78.31,3
FRPT,135.45712,304000,154.47429,304000,0.699891,6620573184,20.767818,173.52,172.4382,58.97,4
FTNT,140.31424,1410625,171.97285,1410625,1.081256,29826420736,11.496462,193.84,43.004707,96.01,3
FTV,67.72164,1995350,68.25486,1995350,1.221366,24091082752,5.198318,74.255,25.725634,40.97908,1
FUL,52.791294,516225,58.51857,516225,1.794149,3321385728,1.1574349,64.06,16.348717,25.38,0
GATX,81.910866,371987,95.95743,371987,1.040628,3293468416,2.7236755,101.34,18.474207,51.3,4
GBCI,45.08784,609625,57.059715,609625,1.016251,5744397312,7.891111,67.35,23.681103,30.05,4
GDDY,78.93791,1969712,79.886856,1969712,0.965872,13119738880,3.9556606,93.745,38.0,50.63,1
GGG,67.76446,1122112,69.616,1122112,0.589382,12152785920,7.364812,76.98,29.367346,41.79,4
GH,128.81122,771125,150.91315,771125,0.503119,13614888960,47.48331,181.07,-44.742577,59.15,4
GKOS,71.81705,369850,90.44143,369850,1.690682,3918383104,17.41821,99.0,-161.47171,27.58,0
GLW,36.19863,6283000,38.958286,6283000,1.197183,33389410304,2.9540308,43.49,19.821917,17.82,3
GME,55.153885,23697375,133.25371,23697375,-2.065005,12658379776,2.4870093,483.0,-548.4848,2.57,4
GNRC,243.98906,2508387,317.82513,2508387,0.944745,19866718208,7.9940124,364.0,33.76496,81.22,1
GPC,101.24201,1030562,109.234856,1030562,1.126218,17119212544,1.0351795,119.07,19.24513,57.87,1
GRMN,114.62496,724912,126.53,724912,1.014084,24591970304,5.8740096,133.43,22.325216,70.21,1
GT,11.667625,4536687,16.405144,4536687,2.255146,4022087424,0.32644162,19.38,10.700001,5.33,2
GTLS,111.817696,322187,146.76686,322187,1.817443,5059198464,4.298019,166.14,27.375244,22.96,0
GWW,384.93423,334725,386.30457,334725,1.198808,20903424000,1.7719271,427.9,18.882742,233.85,1
HAL,17.540863,12456300,21.768572,12456300,2.926868,19363313664,1.3404856,24.74,17.02344,6.03,2
HALO,38.9959,1346075,45.53486,1346075,1.482665,5601779200,20.933874,56.4,15.567669,15.89,0
HAS,90.06993,1038562,94.123146,1038562,0.973456,13529171968,2.4754026,101.24,19.313726,60.2,1
HASI,53.6918,1056900,57.35,1056900,1.843445,4247527680,50.18998,72.42,30.021976,16.25,0
HBAN,12.621583,13907387,15.576285,13907387,1.412242,16440031232,4.3688626,16.91,11.652174,6.82,1
HELE,213.04526,379400,222.946,379400,0.890032,5232899072,2.575513,265.97,18.20883,121.72,4
HES,52.650864,2528475,66.68229,2528475,2.263271,22201300992,4.886925,76.24,36.34171,29.83,2
HGV,29.663166,925550,38.34257,925550,2.310688,3163612160,4.1791444,42.94,12.111112,12.787,2
HI,38.490143,583725,47.730286,583725,1.558504,3673079296,1.3899491,52.84,13.670391,16.38,0
HIG,46.69741,8383837,55.419716,8383837,1.04442,24203696128,1.1810137,69.6,10.866774,30.27,1
HL,5.6671944,9520987,6.2805715,9520987,2.29144,3179016704,4.594798,8.45,22.0,1.66,2
HLI,65.07971,410750,66.424,410750,0.665763,4655584768,3.5095274,73.26,17.40206,46.61,4
HLNE,76.23158,205062,87.674,205062,0.868527,4566633472,14.465564,97.48,35.295082,48.1,4
HLT,104.531654,2593025,120.19943,2593025,1.317443,33623881728,21.014927,128.92,31.790028,53.7,3
HMSY,32.3541,1032337,36.791714,1032337,0.820151,3283989504,4.877577,37.22,24.606667,23.12,4
HOLX,71.90072,1743350,74.89943,1743350,1.202058,18917543936,4.17081,85.0,14.742971,32.0,1
HOMB,20.207338,1005775,25.605715,1005775,1.507583,4560023040,7.834055,29.21,16.709091,10.79,0
HPE,11.71187,11695275,14.716857,11695275,1.38624,20831410176,0.7753819,16.14,8.382199,8.285,1
HPQ,23.412374,16303950,28.881714,16303950,1.054712,39467352064,0.68440104,31.69,9.366863,13.39,3
HQY,67.939926,911087,78.53714,911087,1.454496,5804259840,7.9123464,93.32,42.424244,40.555,0
HR,29.944101,1398275,30.153143,1398275,0.56663,4378610688,8.777198,34.01,106.75862,24.47,4
HRL,48.193813,2125637,47.87257,2125637,-0.053087,25878489088,2.6719692,52.97,25.620321,43.45,1
HST,13.811511,7787800,16.368,7787800,1.439328,12125224960,7.6259274,18.45,573.00006,8.83,0
HSY,148.09317,900450,151.10315,900450,0.316359,32995330048,4.0486465,159.29,22.306725,125.5,1
HUBS,379.71014,658650,473.23428,658650,1.716684,20385171456,23.085585,547.47,193.81058,110.575,1
HWC,31.122519,612387,40.51743,612387,1.640303,3753879808,5.685939,47.37,11.498645,14.88,0
HWM,24.313885,3438850,29.785429,3438850,1.755813,13871343616,2.637639,32.96,,9.87,0
HZNP,78.74921,2433175,88.489716,2433175,1.082881,18604865536,8.455108,96.54,16.470238,27.39,1
IDXX,460.68195,542487,509.01544,542487,0.890032,41023320064,15.156465,573.99,55.324883,226.02,3
IEX,192.18597,461375,198.35829,461375,1.092091,15681317888,6.6682305,211.71,31.924267,127.48,1
IFF,120.239426,2029300,135.64543,2029300,1.00325,34967982080,6.8777223,143.09,21.453436,96.8,3
IIPR,164.31964,487562,193.67372,487562,1.542042,4229452032,36.181324,222.082,26.462576,64.675,0
IIVI,66.59626,3559812,80.11057,3559812,1.559588,7390959616,2.5592105,100.44,16.52225,23.9,0
INCY,86.38475,1567575,81.1,1567575,0.770314,17972246528,6.739503,110.37,17.888401,69.25,1
INDB,71.331154,215587,87.24972,215587,1.039544,2873930240,6.7521005,99.85,21.76,49.25,4
INFO,87.45446,2068187,93.003426,2068187,1.010292,41768443904,9.653202,101.45,28.00284,57.495,3
INSM,36.779568,961250,38.84086,961250,2.289274,3570440192,21.71629,45.44,-13.125,13.77,2
INSP,179.66331,242812,218.83344,242812,1.698477,5414001152,46.922813,252.25,-149.2154,46.08,0
INVH,29.165253,3213650,30.166,3213650,0.796602,18321205248,10.050979,32.32,87.297295,18.87,1
IP,48.04705,3732225,51.545715,3732225,1.076381,21664677888,1.0527054,56.98,12.553532,29.16,1
IPG,22.722086,5425175,27.320858,5425175,1.018418,11110883328,1.3777523,30.43,13.28972,13.38,4
IQV,175.02965,792700,189.496,792700,1.392199,36984184832,3.2559369,199.99,20.91757,98.01,3
IR,42.652447,2175750,46.94057,2175750,1.555843,20816807936,4.2395034,51.61,23.12093,22.18,1
IRBT,94.29626,483637,121.236855,483637,1.369447,3179448576,2.2227843,197.4,21.47619,37.01,0
IRDM,36.083958,1075062,42.241714,1075062,1.175514,5120096768,8.77572,54.65,953.25006,19.18,0
IRTC,207.94957,473525,151.41142,473525,1.725528,3977227776,14.999011,286.19,-120.69911,70.63,0
