As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,CAMP,CALAMP CORP COMMON STOCK USD.01,0.0136621100,822458.2700000000
2021-02-28,LE,LANDS  END INC COMMON STOCK USD.01,0.0136183100,819821.5200000000
2021-02-28,CNSL,CONSOLIDATED COMMUNICATIONS COMMON STOCK USD.01,0.0136140600,819565.8600000000
2021-02-28,BDSI,BIODELIVERY SCIENCES INTL COMMON STOCK USD.001,0.0135635000,816522.0000000000
2021-02-28,CPRX,CATALYST PHARMACEUTICALS INC COMMON STOCK USD.001,0.0135617000,816413.7500000000
2021-02-28,ATRO,ASTRONICS CORP COMMON STOCK USD.01,0.0135601900,816322.8000000000
2021-02-28,BLBD,BLUE BIRD CORP COMMON STOCK USD.0001,0.0135166900,813704.3200000000
2021-02-28,MRNS,MARINUS PHARMACEUTICALS INC COMMON STOCK USD.001,0.0134790300,811437.2200000000
2021-02-28,AMTB,AMERANT BANCORP INC COMMON STOCK USD.1,0.0134651900,810603.9900000000
2021-02-28,URGN,UROGEN PHARMA LTD COMMON STOCK USD.01,0.0134498800,809682.1500000000
2021-02-28,FF,FUTUREFUEL CORP COMMON STOCK USD.0001,0.0133751500,805183.3200000000
2021-02-28,VXRT,VAXART INC COMMON STOCK USD.1,0.0133698000,804861.2000000000
2021-02-28,HT,HERSHA HOSPITALITY TRUST REIT USD.01,0.0133656200,804609.8400000000
2021-02-28,WSR,WHITESTONE REIT REIT USD.001,0.0133610400,804333.7500000000
2021-02-28,SPRO,SPERO THERAPEUTICS INC COMMON STOCK USD.001,0.0133262900,802241.8400000000
2021-02-28,FIXX,HOMOLOGY MEDICINES INC COMMON STOCK USD.0001,0.0133220700,801988.0200000000
2021-02-28,ICAD,ICAD INC COMMON STOCK USD.01,0.0133143500,801523.0100000000
2021-02-28,WTBA,WEST BANCORPORATION COMMON STOCK,0.0132937500,800282.8200000000
2021-02-28,WTTR,SELECT ENERGY SERVICES INC A COMMON STOCK USD.01,0.0132880700,799941.3600000000
2021-02-28,RUBY,RUBIUS THERAPEUTICS INC COMMON STOCK,0.0132424400,797194.3800000000
2021-02-28,IESC,IES HOLDINGS INC COMMON STOCK USD.01,0.0132365000,796836.7200000000
2021-02-28,ORGO,ORGANOGENESIS HOLDINGS INC COMMON STOCK,0.0132150300,795543.8400000000
2021-02-28,NSSC,NAPCO SECURITY TECHNOLOGIES COMMON STOCK USD.01,0.0131723400,792974.4900000000
2021-02-28,RES,RPC INC COMMON STOCK USD.1,0.0131491500,791578.3000000000
2021-02-28,PLYM,PLYMOUTH INDUSTRIAL REIT INC REIT USD.01,0.0131400200,791028.5600000000
2021-02-28,HTBI,HOMETRUST BANCSHARES INC COMMON STOCK,0.0131352300,790740.0800000000
2021-02-28,MBI,MBIA INC COMMON STOCK USD1.0,0.0131036300,788838.0000000000
2021-02-28,CODX,CO DIAGNOSTICS INC COMMON STOCK USD.001,0.0130887000,787938.8800000000
2021-02-28,TMST,TIMKENSTEEL CORP COMMON STOCK,0.0130379400,784883.1200000000
2021-02-28,FMNB,FARMERS NATL BANC CORP COMMON STOCK,0.0130353600,784728.0000000000
2021-02-28,MESA,MESA AIR GROUP INC COMMON STOCK,0.0130236100,784020.8000000000
2021-02-28,EQBK,EQUITY BANCSHARES INC   CL A COMMON STOCK USD.01,0.0129935300,782210.0000000000
2021-02-28,CPLG,COREPOINT LODGING INC REIT USD.01,0.0129595200,780162.1800000000
2021-02-28,CLFD,CLEARFIELD INC COMMON STOCK USD.01,0.0129069400,776997.3400000000
2021-02-28,SENEA,SENECA FOODS CORP   CL A COMMON STOCK USD.25,0.0128994300,776545.1400000000
2021-02-28,MCB,METROPOLITAN BANK HOLDING CO COMMON STOCK,0.0128397100,772949.6600000000
2021-02-28,IDT,IDT CORP CLASS B COMMON STOCK USD.01,0.0128342600,772621.8500000000
2021-02-28,SIEN,SIENTRA INC COMMON STOCK USD.01,0.0127842800,769613.1600000000
2021-02-28,HCI,HCI GROUP INC COMMON STOCK,0.0127544800,767819.1600000000
2021-02-28,AMOT,ALLIED MOTION TECHNOLOGIES COMMON STOCK,0.0127389400,766883.4600000000
2021-02-28,MOV,MOVADO GROUP INC COMMON STOCK USD.01,0.0127278600,766216.8000000000
2021-02-28,MTRX,MATRIX SERVICE CO COMMON STOCK USD.01,0.0126568500,761941.9300000000
2021-02-28,OPY,OPPENHEIMER HOLDINGS CL A COMMON STOCK USD.001,0.0126146700,759402.3000000000
2021-02-28,FOR,FORESTAR GROUP INC COMMON STOCK USD1.0,0.0125586300,756029.1900000000
2021-02-28,VSEC,VSE CORP COMMON STOCK USD.05,0.0124987000,752421.2800000000
2021-02-28,PLRX,PLIANT THERAPEUTICS INC COMMON STOCK,0.0124901100,751904.0700000000
2021-02-28,CTMX,CYTOMX THERAPEUTICS INC COMMON STOCK USD.00001,0.0124843800,751559.0000000000
2021-02-28,ATHX,ATHERSYS INC COMMON STOCK USD.001,0.0124805400,751327.9200000000
2021-02-28,UFI,UNIFI INC COMMON STOCK USD.1,0.0124397500,748872.2700000000
2021-02-28,APYX,APYX MEDICAL CORP COMMON STOCK USD.001,0.0124365500,748679.8000000000
2021-02-28,HIFS,HINGHAM INSTITUTION FOR SVGS COMMON STOCK USD1.0,0.0124048700,746772.7800000000
2021-02-28,REVG,REV GROUP INC COMMON STOCK USD.001,0.0123758600,745026.1200000000
2021-02-28,HAYN,HAYNES INTERNATIONAL INC COMMON STOCK USD.001,0.0123657600,744418.2900000000
2021-02-28,OLP,ONE LIBERTY PROPERTIES INC REIT USD1.0,0.0123161000,741428.3000000000
2021-02-28,SYRS,SYROS PHARMACEUTICALS INC COMMON STOCK USD.001,0.0123082400,740955.6000000000
2021-02-28,AVRO,AVROBIO INC COMMON STOCK USD.0001,0.0123032000,740652.0000000000
2021-02-28,CCNE,CNB FINANCIAL CORP/PA COMMON STOCK,0.0122966800,740259.7400000000
2021-02-28,LOCO,EL POLLO LOCO HOLDINGS INC COMMON STOCK USD.01,0.0122923800,740000.4300000000
2021-02-28,OSBC,OLD SECOND BANCORP INC COMMON STOCK USD1.0,0.0122583200,737950.5000000000
2021-02-28,UFPT,UFP TECHNOLOGIES INC COMMON STOCK USD.01,0.0122401700,736857.6000000000
2021-02-28,ACTG,ACACIA RESEARCH CORP COMMON STOCK USD.001,0.0121988000,734367.2000000000
2021-02-28,LUNA,LUNA INNOVATIONS INC COMMON STOCK USD.001,0.0121823100,733374.3200000000
2021-02-28,SOI,SOLARIS OILFIELD INFRAST A COMMON STOCK USD.01,0.0121735300,732845.9300000000
2021-02-28,OOMA,OOMA INC COMMON STOCK USD.0001,0.0121626000,732187.8000000000
2021-02-28,DSPG,DSP GROUP INC COMMON STOCK USD.001,0.0121492700,731385.1800000000
2021-02-28,AGLE,AEGLEA BIOTHERAPEUTICS INC COMMON STOCK USD.0001,0.0121363300,730606.6000000000
2021-02-28,BRY,BERRY CORP COMMON STOCK USD.001,0.0121344600,730493.9200000000
2021-02-28,FLDM,FLUIDIGM CORP COMMON STOCK USD.001,0.0121129100,729196.6000000000
2021-02-28,CCBG,CAPITAL CITY BANK GROUP INC COMMON STOCK USD.01,0.0120612000,726083.5200000000
2021-02-28,TRC,TEJON RANCH CO COMMON STOCK USD.5,0.0120347900,724493.7600000000
2021-02-28,SSTI,SHOTSPOTTER INC COMMON STOCK,0.0120207900,723651.2400000000
2021-02-28,TISI,TEAM INC COMMON STOCK USD.3,0.0120041100,722646.5800000000
2021-02-28,BSRR,SIERRA BANCORP COMMON STOCK,0.0119503700,719411.4000000000
